norm_type,learning_rate,kernel_num,init_type,epoch,avg_loss,epoch_time,total_time,converged,convergence_epoch,accuracy
0,0.001000,1,0,1,2.267259,0.941929,93.967260,0,-1,0.620000
0,0.001000,1,0,2,2.217435,0.941231,93.967260,0,-1,0.620000
0,0.001000,1,0,3,2.175074,0.936124,93.967260,0,-1,0.620000
0,0.001000,1,0,4,2.134908,0.931593,93.967260,0,-1,0.620000
0,0.001000,1,0,5,2.095683,0.933584,93.967260,0,-1,0.620000
0,0.001000,1,0,6,2.056991,0.927680,93.967260,0,-1,0.620000
0,0.001000,1,0,7,2.018558,0.935555,93.967260,0,-1,0.620000
0,0.001000,1,0,8,1.980373,0.933855,93.967260,0,-1,0.620000
0,0.001000,1,0,9,1.942363,0.956544,93.967260,0,-1,0.620000
0,0.001000,1,0,10,1.904787,0.949177,93.967260,0,-1,0.620000
0,0.001000,1,0,11,1.867756,0.939054,93.967260,0,-1,0.620000
0,0.001000,1,0,12,1.831449,0.946623,93.967260,0,-1,0.620000
0,0.001000,1,0,13,1.796034,0.936983,93.967260,0,-1,0.620000
0,0.001000,1,0,14,1.761660,0.964257,93.967260,0,-1,0.620000
0,0.001000,1,0,15,1.728448,0.939859,93.967260,0,-1,0.620000
0,0.001000,1,0,16,1.696486,0.941667,93.967260,0,-1,0.620000
0,0.001000,1,0,17,1.665859,0.937043,93.967260,0,-1,0.620000
0,0.001000,1,0,18,1.636581,0.933906,93.967260,0,-1,0.620000
0,0.001000,1,0,19,1.608657,0.939831,93.967260,0,-1,0.620000
0,0.001000,1,0,20,1.582054,0.934563,93.967260,0,-1,0.620000
0,0.001000,1,0,21,1.556763,0.935783,93.967260,0,-1,0.620000
0,0.001000,1,0,22,1.532745,0.934871,93.967260,0,-1,0.620000
0,0.001000,1,0,23,1.509918,0.944831,93.967260,0,-1,0.620000
0,0.001000,1,0,24,1.488223,0.937919,93.967260,0,-1,0.620000
0,0.001000,1,0,25,1.467583,0.935924,93.967260,0,-1,0.620000
0,0.001000,1,0,26,1.447942,0.937907,93.967260,0,-1,0.620000
0,0.001000,1,0,27,1.429254,0.935552,93.967260,0,-1,0.620000
0,0.001000,1,0,28,1.411436,0.960691,93.967260,0,-1,0.620000
0,0.001000,1,0,29,1.394451,0.937198,93.967260,0,-1,0.620000
0,0.001000,1,0,30,1.378254,0.938494,93.967260,0,-1,0.620000
0,0.001000,1,0,31,1.362771,0.937267,93.967260,0,-1,0.620000
0,0.001000,1,0,32,1.347958,0.937215,93.967260,0,-1,0.620000
0,0.001000,1,0,33,1.333766,0.944984,93.967260,0,-1,0.620000
0,0.001000,1,0,34,1.320170,0.939148,93.967260,0,-1,0.620000
0,0.001000,1,0,35,1.307128,0.940210,93.967260,0,-1,0.620000
0,0.001000,1,0,36,1.294610,0.941111,93.967260,0,-1,0.620000
0,0.001000,1,0,37,1.282580,0.936867,93.967260,0,-1,0.620000
0,0.001000,1,0,38,1.271008,0.937711,93.967260,0,-1,0.620000
0,0.001000,1,0,39,1.259870,0.953523,93.967260,0,-1,0.620000
0,0.001000,1,0,40,1.249130,0.967559,93.967260,0,-1,0.620000
0,0.001000,1,0,41,1.238776,0.932913,93.967260,0,-1,0.620000
0,0.001000,1,0,42,1.228773,0.928488,93.967260,0,-1,0.620000
0,0.001000,1,0,43,1.219115,0.946699,93.967260,0,-1,0.620000
0,0.001000,1,0,44,1.209778,0.939432,93.967260,0,-1,0.620000
0,0.001000,1,0,45,1.200749,0.940042,93.967260,0,-1,0.620000
0,0.001000,1,0,46,1.192008,0.932120,93.967260,0,-1,0.620000
0,0.001000,1,0,47,1.183544,0.934139,93.967260,0,-1,0.620000
0,0.001000,1,0,48,1.175338,0.936375,93.967260,0,-1,0.620000
0,0.001000,1,0,49,1.167375,0.939376,93.967260,0,-1,0.620000
0,0.001000,1,0,50,1.159651,0.934181,93.967260,0,-1,0.620000
0,0.001000,1,0,51,1.152156,0.932539,93.967260,0,-1,0.620000
0,0.001000,1,0,52,1.144864,0.939758,93.967260,0,-1,0.620000
0,0.001000,1,0,53,1.137778,0.998835,93.967260,0,-1,0.620000
0,0.001000,1,0,54,1.130886,0.970186,93.967260,0,-1,0.620000
0,0.001000,1,0,55,1.124181,0.934294,93.967260,0,-1,0.620000
0,0.001000,1,0,56,1.117647,0.934050,93.967260,0,-1,0.620000
0,0.001000,1,0,57,1.111287,0.937268,93.967260,0,-1,0.620000
0,0.001000,1,0,58,1.105088,0.961496,93.967260,0,-1,0.620000
0,0.001000,1,0,59,1.099042,0.947772,93.967260,0,-1,0.620000
0,0.001000,1,0,60,1.093144,0.953269,93.967260,0,-1,0.620000
0,0.001000,1,0,61,1.087393,0.989825,93.967260,0,-1,0.620000
0,0.001000,1,0,62,1.081773,0.950968,93.967260,0,-1,0.620000
0,0.001000,1,0,63,1.076285,0.969111,93.967260,0,-1,0.620000
0,0.001000,1,0,64,1.070920,0.997703,93.967260,0,-1,0.620000
0,0.001000,1,0,65,1.065677,0.932376,93.967260,0,-1,0.620000
