adam_training_results
norm_type,learning_rate,kernel_num,init_type,epoch,avg_loss,epoch_time,total_time,converged,convergence_epoch,accuracy
0,0.010000,1,0,1,1.991223,1.093444,109.278669,1,44,0.870000
0,0.010000,1,0,2,0.617188,1.099424,109.278669,1,44,0.870000
0,0.010000,1,0,3,0.403087,1.092462,109.278669,1,44,0.870000
0,0.010000,1,0,4,0.336961,1.091813,109.278669,1,44,0.870000
0,0.010000,1,0,5,0.290927,1.088534,109.278669,1,44,0.870000
0,0.010000,1,0,6,0.256131,1.088631,109.278669,1,44,0.870000
0,0.010000,1,0,7,0.233559,1.088105,109.278669,1,44,0.870000
0,0.010000,1,0,8,0.213006,1.091182,109.278669,1,44,0.870000
0,0.010000,1,0,9,0.180321,1.089940,109.278669,1,44,0.870000
0,0.010000,1,0,10,0.165365,1.103652,109.278669,1,44,0.870000
0,0.010000,1,0,11,0.159677,1.089923,109.278669,1,44,0.870000
0,0.010000,1,0,12,0.136983,1.089515,109.278669,1,44,0.870000
0,0.010000,1,0,13,0.135918,1.090491,109.278669,1,44,0.870000
0,0.010000,1,0,14,0.122654,1.088817,109.278669,1,44,0.870000
0,0.010000,1,0,15,0.111753,1.088227,109.278669,1,44,0.870000
0,0.010000,1,0,16,0.107489,1.087786,109.278669,1,44,0.870000
0,0.010000,1,0,17,0.095644,1.089203,109.278669,1,44,0.870000
0,0.010000,1,0,18,0.084511,1.088692,109.278669,1,44,0.870000
0,0.010000,1,0,19,0.090790,1.088570,109.278669,1,44,0.870000
0,0.010000,1,0,20,0.079787,1.089774,109.278669,1,44,0.870000
0,0.010000,1,0,21,0.069100,1.089925,109.278669,1,44,0.870000
0,0.010000,1,0,22,0.066518,1.089012,109.278669,1,44,0.870000
0,0.010000,1,0,23,0.070740,1.088401,109.278669,1,44,0.870000
0,0.010000,1,0,24,0.056785,1.088412,109.278669,1,44,0.870000
0,0.010000,1,0,25,0.049740,1.090399,109.278669,1,44,0.870000
0,0.010000,1,0,26,0.050150,1.087936,109.278669,1,44,0.870000
0,0.010000,1,0,27,0.039586,1.090944,109.278669,1,44,0.870000
0,0.010000,1,0,28,0.052621,1.093299,109.278669,1,44,0.870000
0,0.010000,1,0,29,0.036326,1.088512,109.278669,1,44,0.870000
0,0.010000,1,0,30,0.032090,1.087037,109.278669,1,44,0.870000
0,0.010000,1,0,31,0.031075,1.086995,109.278669,1,44,0.870000
0,0.010000,1,0,32,0.029278,1.086986,109.278669,1,44,0.870000
0,0.010000,1,0,33,0.030526,1.085664,109.278669,1,44,0.870000
0,0.010000,1,0,34,0.025503,1.086206,109.278669,1,44,0.870000
0,0.010000,1,0,35,0.029287,1.090770,109.278669,1,44,0.870000
0,0.010000,1,0,36,0.037428,1.087573,109.278669,1,44,0.870000
0,0.010000,1,0,37,0.020866,1.087474,109.278669,1,44,0.870000
0,0.010000,1,0,38,0.014815,1.088572,109.278669,1,44,0.870000
0,0.010000,1,0,39,0.017609,1.084703,109.278669,1,44,0.870000
0,0.010000,1,0,40,0.015236,1.085506,109.278669,1,44,0.870000
0,0.010000,1,0,41,0.025060,1.085254,109.278669,1,44,0.870000
0,0.010000,1,0,42,0.018563,1.085703,109.278669,1,44,0.870000
0,0.010000,1,0,43,0.031467,1.087126,109.278669,1,44,0.870000
0,0.010000,1,0,44,0.007772,1.086390,109.278669,1,44,0.870000
0,0.010000,1,0,45,0.012554,1.086885,109.278669,1,44,0.870000
0,0.010000,1,0,46,0.014192,1.089775,109.278669,1,44,0.870000
0,0.010000,1,0,47,0.014631,1.087678,109.278669,1,44,0.870000
0,0.010000,1,0,48,0.009025,1.087280,109.278669,1,44,0.870000
0,0.010000,1,0,49,0.007482,1.088790,109.278669,1,44,0.870000
0,0.010000,1,0,50,0.031517,1.090151,109.278669,1,44,0.870000
0,0.010000,1,0,51,0.013542,1.090007,109.278669,1,44,0.870000
0,0.010000,1,0,52,0.002682,1.088075,109.278669,1,44,0.870000
0,0.010000,1,0,53,0.002767,1.088860,109.278669,1,44,0.870000
